AJUSTE,TIEMPO,CIF,KILO,PAG,GRUPO,Prediccion_Ajuste_Modelo 1: Red Neuronal con Más Capas y Neuronas,Prediccion_Ajuste_Modelo 2: Red Neuronal con Menos Capas y Neuronas,Prediccion_Ajuste_Modelo 3: Red Neuronal con Capas Convolucionales (CNN)
0.0,19.67,300.0,300.0,100.0,-1,108.131096,21.224112,59.51789
0.0,4.89,1879.465,382.004,247.52,0,84.12771,56.807358,59.86918
0.0,67.48,300.0,32897.564,100.0,-1,81.36585,18.013239,88.89801
0.0,8.77,300.0,32897.564,100.0,-1,111.748985,27.128428,73.53571
0.0,4.98,300.0,32897.564,100.0,1,72.64935,45.59533,67.712265
0.0,19.17,300.0,32897.564,100.0,-1,80.208015,23.246218,69.33754
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,9.8,801.045,300.0,107.492,0,69.90797,30.859007,57.50567
0.0,44.0,1082.62,300.0,306.292,0,69.96364,44.27224,52.349655
0.0,48.78,300.0,300.0,100.0,0,67.84705,15.485598,50.387676
0.0,7.77,706.755,300.0,100.0,0,70.53712,31.346498,57.988564
0.0,27.25,542.78,300.0,144.144,-1,108.131096,24.228754,57.445175
0.0,69.98,850.395,300.0,1091.972,0,113.37992,354.72412,131.4258
0.0,3.16,1776.985,476.0,289.8,0,105.12477,70.782425,60.91433
0.0,47.74,312.62,450.268,100.0,0,67.82706,15.63167,50.342747
0.0,12.06,300.0,300.0,100.0,0,69.701546,29.530066,57.111183
0.0,51.83,4853.415,326.984,1278.144,0,109.49346,223.01834,121.42529
0.0,23.57,20296.395,9084.068,5268.844,0,1041.467,1646.0793,1697.6844
0.0,69.98,362.67,300.0,100.0,0,69.30209,27.213911,62.899414
0.0,28.87,449.75,32897.564,180.656,0,65.85945,29.50466,54.145836
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,24.05,13111.665,833.28,3099.628,0,337.98276,824.347,722.5497
0.0,53.88,300.0,300.0,100.0,0,68.002045,14.769148,51.769974
0.0,69.98,1188.25,300.0,561.736,0,75.782715,169.16586,80.79629
0.0,67.0,300.72,32897.564,100.0,0,64.16445,22.328215,64.033325
0.0,69.98,774.76,471.632,100.0,0,69.18241,27.201353,62.85634
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,9.84,300.0,300.0,100.0,-1,108.131096,24.89219,61.835045
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,12.93,300.0,32897.564,100.0,0,66.01942,29.206656,54.860332
0.0,69.98,300.0,300.0,100.0,0,69.267815,27.216818,62.90801
0.0,10.18,357.28,300.0,100.0,0,69.833435,30.326212,57.514954
0.0,26.1,300.0,32897.564,100.0,-1,70.38581,20.90249,66.19673
0.0,67.0,450.625,32897.564,100.0,0,64.16281,22.328398,64.04909
0.0,66.59,300.0,32897.564,100.0,1,71.74424,45.979668,75.91135
0.0,50.75,1531.04,346.052,259.616,0,69.15176,35.722656,52.532494
0.0,45.96,5000.0,2750.0,1350.0,0,108.61552,235.58673,128.30548
0.0,51.83,21385.455,6121.78,6631.156,0,1449.6287,2267.5916,2306.2505
0.0,51.83,5000.0,2750.0,1350.0,0,112.38958,242.91885,132.1428
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,51.83,3500.0,41.328,159.88,-1,108.131096,22.447939,57.2732
0.0,43.54,437.01,32897.564,100.0,0,64.86502,16.228868,45.796604
0.0,31.51,300.0,300.0,100.0,0,67.72091,21.29278,51.6806
0.0,3.59,877.275,300.0,282.352,-1,125.744415,74.4504,66.62479
0.0,51.83,5880.35,1662.164,714.112,-1,108.131096,140.19397,82.04608
0.0,67.0,308.77,32897.564,100.0,0,64.16436,22.328245,64.03418
0.0,49.85,300.0,300.0,100.0,0,67.8818,15.335279,50.4372
0.0,67.0,324.94,32897.564,100.0,0,64.164185,22.328249,64.03586
0.0,49.35,300.0,584.836,100.0,0,67.89147,15.405481,50.421925
0.0,67.0,300.0,32897.564,100.0,0,64.16446,22.32823,64.03323
0.0,58.55,300.0,32897.564,100.0,0,64.19221,15.975405,50.733627
0.0,29.47,1103.585,483.84,322.812,-1,108.131096,57.364502,61.02061
0.0,6.01,8504.685,6265.0,1428.168,0,108.131096,375.96216,199.83208
0.0,51.83,3226.615,599.76,407.288,0,70.45687,61.847755,56.392597
0.0,25.13,300.0,300.0,100.0,0,67.65771,23.99478,53.612244
0.0,69.98,1451.135,315.0,383.292,0,69.74572,104.3278,69.38211
0.0,51.83,8540.735,6510.0,3576.188,0,425.52466,1064.7131,939.22034
0.0,25.74,8939.665,2553.936,2313.36,-1,255.79755,570.80756,510.19168
0.0,49.01,300.0,300.0,100.0,-1,108.131096,14.727896,55.54497
0.0,69.98,1056.615,700.0,279.328,0,67.91537,71.07544,65.395935
0.0,67.0,711.41,32897.564,188.972,0,64.6079,32.696846,72.92981
0.0,69.98,1423.695,1047.62,200.368,-1,108.131096,43.349792,69.7016
0.0,69.98,300.0,300.0,100.0,1,66.31001,59.61183,63.079742
0.0,67.0,637.735,32897.564,149.156,0,64.1926,26.79901,68.06125
0.0,27.01,300.0,32897.564,100.0,0,64.96632,23.230188,48.81848
0.0,67.0,529.445,32897.564,100.0,0,64.16196,22.328482,64.05738
