AJUSTE,TIEMPO,CIF,KILO,PAG,GRUPO
0.0,19.67,300.0,300.0,100.0,-1
0.0,4.89,1879.465,382.004,247.52,0
0.0,67.48,300.0,32897.564,100.0,-1
0.0,8.77,300.0,32897.564,100.0,-1
0.0,4.98,300.0,32897.564,100.0,1
0.0,19.17,300.0,32897.564,100.0,-1
0.0,67.0,300.0,32897.564,100.0,0
0.0,9.8,801.045,300.0,107.492,0
0.0,44.0,1082.62,300.0,306.292,0
0.0,48.78,300.0,300.0,100.0,0
0.0,7.77,706.755,300.0,100.0,0
0.0,27.25,542.78,300.0,144.144,-1
0.0,69.98,850.395,300.0,1091.972,0
0.0,3.16,1776.985,476.0,289.8,0
0.0,47.74,312.62,450.268,100.0,0
0.0,12.06,300.0,300.0,100.0,0
0.0,51.83,4853.415,326.984,1278.144,0
0.0,23.57,20296.395,9084.068,5268.844,0
0.0,69.98,362.67,300.0,100.0,0
0.0,28.87,449.75,32897.564,180.656,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,24.05,13111.665,833.28,3099.628,0
0.0,53.88,300.0,300.0,100.0,0
0.0,69.98,1188.25,300.0,561.736,0
0.0,67.0,300.72,32897.564,100.0,0
0.0,69.98,774.76,471.632,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,9.84,300.0,300.0,100.0,-1
0.0,67.0,300.0,32897.564,100.0,0
0.0,12.93,300.0,32897.564,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,10.18,357.28,300.0,100.0,0
0.0,26.1,300.0,32897.564,100.0,-1
0.0,67.0,450.625,32897.564,100.0,0
0.0,66.59,300.0,32897.564,100.0,1
0.0,50.75,1531.04,346.052,259.616,0
0.0,45.96,5000.0,2750.0,1350.0,0
0.0,51.83,21385.455,6121.78,6631.156,0
0.0,51.83,5000.0,2750.0,1350.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,51.83,3500.0,41.328,159.88,-1
0.0,43.54,437.01,32897.564,100.0,0
0.0,31.51,300.0,300.0,100.0,0
0.0,3.59,877.275,300.0,282.352,-1
0.0,51.83,5880.35,1662.164,714.112,-1
0.0,67.0,308.77,32897.564,100.0,0
0.0,49.85,300.0,300.0,100.0,0
0.0,67.0,324.94,32897.564,100.0,0
0.0,49.35,300.0,584.836,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,58.55,300.0,32897.564,100.0,0
0.0,29.47,1103.585,483.84,322.812,-1
0.0,6.01,8504.685,6265.0,1428.168,0
0.0,51.83,3226.615,599.76,407.288,0
0.0,25.13,300.0,300.0,100.0,0
0.0,69.98,1451.135,315.0,383.292,0
0.0,51.83,8540.735,6510.0,3576.188,0
0.0,25.74,8939.665,2553.936,2313.36,-1
0.0,49.01,300.0,300.0,100.0,-1
0.0,69.98,1056.615,700.0,279.328,0
0.0,67.0,711.41,32897.564,188.972,0
0.0,69.98,1423.695,1047.62,200.368,-1
0.0,69.98,300.0,300.0,100.0,1
0.0,67.0,637.735,32897.564,149.156,0
0.0,27.01,300.0,32897.564,100.0,0
0.0,67.0,529.445,32897.564,100.0,0
0.0,41.98,7914.13,2257.92,975.436,-1
0.0,5.25,300.0,32897.564,100.0,0
0.0,45.61,4523.435,16973.6,1197.588,0
0.0,24.05,381.64,32897.564,162.652,0
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,47.23,371.14,300.0,104.888,0
0.0,69.98,413.63,568.176,108.248,0
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,25.94,300.0,300.0,100.0,0
0.0,10.17,300.0,300.0,100.0,0
0.0,69.98,602.91,300.0,100.0,0
0.0,44.57,300.0,32897.564,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,803.565,1359.652,211.652,0
0.0,69.98,618.38,300.0,109.592,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,51.83,9523.01,843.052,1587.824,0
0.0,44.79,300.0,32897.564,100.0,0
0.0,10.4,300.0,32897.564,100.0,-1
0.0,48.95,1041.915,600.74,497.084,0
0.0,49.23,9658.81,10644.144,1168.888,0
0.0,67.0,494.725,32897.564,165.704,0
0.0,13.39,492.66,300.0,100.0,0
0.0,51.83,1574.86,69.748,200.116,0
0.0,10.06,471.275,300.0,100.0,0
0.0,18.92,318.15,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,13.95,1479.73,300.0,189.672,0
0.0,6.0,440.965,32897.564,100.0,0
0.0,69.98,1052.52,300.0,139.216,0
0.0,69.98,382.305,300.0,100.0,0
0.0,10.14,899.325,300.0,111.104,0
0.0,22.73,3677.065,762.804,814.52,-1
0.0,51.83,5000.0,2750.0,1350.0,0
0.0,11.57,300.0,32897.564,100.0,-1
0.0,67.0,300.0,32897.564,100.0,0
0.0,9.96,300.0,300.0,100.0,0
0.0,30.86,300.0,300.0,100.0,-1
0.0,26.88,1113.245,300.0,289.8,0
0.0,26.11,300.0,300.0,100.0,0
0.0,44.98,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,68.41,300.0,300.0,100.0,0
0.0,26.68,335.965,32897.564,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,51.83,3500.0,49.448,124.292,0
0.0,44.23,8277.43,899.304,2146.116,0
0.0,24.86,7927.78,2808.68,2507.624,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,20.77,300.0,300.0,100.0,0
0.0,44.16,596.085,300.0,261.464,0
0.0,69.98,1419.53,657.86,596.904,1
0.0,67.0,300.0,32897.564,100.0,0
0.0,27.89,4522.63,2428.916,100.0,0
0.0,22.33,300.0,32897.564,100.0,-1
0.0,69.98,300.0,300.0,100.0,0
0.0,50.42,969.29,300.0,123.396,-1
0.0,46.91,300.0,32897.564,100.0,0
0.0,25.99,5000.0,2750.0,1350.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,73.82,300.0,32897.564,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,53.1,300.0,32897.564,100.0,0
0.0,7.03,22199.17,4469.836,5764.416,-1
0.0,26.57,300.0,32897.564,100.0,0
0.0,25.82,300.0,300.0,100.0,0
0.0,2.32,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,11.04,300.0,32897.564,100.0,-1
0.0,11.18,12601.155,13272.0,1557.948,-1
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,68.6,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,17.0,25187.785,4233.6,6777.204,-1
0.0,21.94,2543.94,5607.616,681.156,-1
0.0,50.44,2005.5,1953.532,523.572,0
0.0,67.0,303.31,32897.564,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,1.72,638.75,300.0,218.624,0
0.0,30.94,1806.98,166.6,238.308,0
0.0,14.67,15515.99,77700.0,2146.396,0
0.0,67.0,361.795,32897.564,100.0,-1
0.0,68.68,300.0,32897.564,100.0,0
0.0,45.88,2060.905,211.4,765.212,0
0.0,9.78,300.0,32897.564,100.0,-1
0.0,67.0,313.32,32897.564,100.0,0
0.0,49.6,1433.67,506.38,374.332,0
0.0,23.53,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,126.952,0
0.0,69.98,727.16,300.0,123.116,-1
0.0,69.98,631.855,534.156,100.0,0
0.0,6.4,300.0,300.0,100.0,0
0.0,51.83,5000.0,2750.0,1350.0,1
0.0,67.0,560.7,32897.564,158.228,0
0.0,69.98,300.0,300.0,100.0,0
0.0,47.07,11405.66,7139.636,2981.44,0
0.0,47.93,5000.0,2750.0,1350.0,0
0.0,51.83,2564.695,1959.272,327.348,0
0.0,63.18,300.0,300.0,100.0,-1
0.0,5.77,300.0,32897.564,100.0,0
0.0,51.83,3500.0,4.48,160.496,0
0.0,31.31,11007.08,1273.328,1330.896,0
0.0,50.32,300.0,32897.564,100.0,0
0.0,48.65,300.0,300.0,100.0,0
0.0,19.6,29943.41,19020.96,6495.356,0
0.0,69.98,300.0,300.0,100.0,-1
0.0,67.0,300.0,32897.564,100.0,0
0.0,18.89,18229.89,5082.0,2358.468,-1
0.0,24.77,300.0,300.0,100.0,-1
0.0,51.83,3106.145,1893.388,813.988,0
0.0,51.83,1788.01,31.5,302.652,0
0.0,69.98,300.0,300.0,100.0,0
0.0,51.83,5000.0,2750.0,1350.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,74.27,300.0,32897.564,100.0,0
0.0,51.83,5000.0,2750.0,1350.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,373.24,32897.564,518.28,0
0.0,69.98,300.0,300.0,100.0,0
0.0,46.23,300.0,336.0,100.0,0
0.0,49.2,781.48,300.0,172.508,0
0.0,69.98,1594.25,300.0,193.396,-1
0.0,30.05,715.575,300.0,190.764,0
0.0,51.83,2764.195,708.708,362.264,0
0.0,51.83,5561.395,543.368,673.456,0
0.0,49.35,300.0,452.592,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,49.6,3098.06,1580.152,100.0,0
0.0,5.78,3373.965,5593.0,760.032,0
0.0,24.43,300.0,300.0,100.0,-1
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,-1
0.0,7.65,4906.23,642.432,1090.012,-1
0.0,67.0,708.05,32897.564,184.548,0
0.0,69.98,707.7,300.0,313.6,1
0.0,12.53,7683.41,1927.828,1002.232,0
0.0,0.27,882.28,300.0,240.828,0
0.0,8.29,3500.0,145.824,207.144,1
0.0,69.98,1000.615,300.0,168.28,0
0.0,67.0,335.16,32897.564,100.0,0
0.0,69.98,1796.025,300.0,219.464,0
0.0,7.36,12390.07,5107.2,2178.428,0
0.0,7.01,1824.06,739.2,280.0,-1
0.0,69.98,711.025,300.0,100.0,0
0.0,11.8,300.0,300.0,100.0,0
0.0,29.71,721.07,32897.564,100.0,0
0.0,25.94,1865.43,1411.2,265.216,-1
0.0,46.1,1849.05,737.66,684.096,0
0.0,48.09,344.855,32897.564,100.0,0
0.0,9.55,8264.48,2004.156,1769.432,1
0.0,2.44,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,1101.576,0
0.0,26.77,2596.195,378.588,436.1,0
0.0,69.98,300.0,300.0,100.0,1
0.0,9.23,22386.0,4408.32,2928.94,-1
0.0,27.63,611.52,32897.564,132.664,0
0.0,21.75,19491.5,5712.14,4231.976,-1
0.0,5.47,300.0,32897.564,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,17.03,300.0,32897.564,100.0,0
0.0,6.9,573.055,300.0,100.0,-1
0.0,69.98,300.0,300.0,100.0,0
0.0,36.81,300.0,300.0,100.0,-1
0.0,50.35,18555.46,6241.2,3144.792,0
0.0,69.98,469.105,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,28.18,300.0,32897.564,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,22.14,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,29.23,860.195,300.0,293.888,0
0.0,51.83,16139.55,3404.716,3473.652,-1
0.0,69.98,300.0,300.0,100.0,0
0.0,51.83,1455.23,42.616,272.72,-1
0.0,49.7,23789.885,7650.804,100.0,0
0.0,43.33,300.0,300.0,100.0,0
0.0,51.83,1441.58,33.88,380.464,-1
0.0,67.0,300.0,32897.564,100.0,0
0.0,46.22,14227.71,2103.416,1806.728,0
0.0,42.4,300.0,300.0,100.0,0
0.0,48.05,300.0,32897.564,100.0,0
0.0,21.81,395.43,300.0,100.0,-1
0.0,47.04,655.27,715.064,100.0,0
0.0,67.0,446.075,32897.564,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,51.83,20164.69,898.716,5292.336,0
0.0,68.23,300.0,32897.564,100.0,0
0.0,17.84,300.0,32897.564,100.0,0
0.0,19.04,300.0,300.0,110.404,1
0.0,69.98,619.745,1209.18,169.288,0
0.0,45.62,3142.86,784.0,840.896,0
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,486.57,302.4,165.284,0
0.0,6.43,300.0,32897.564,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,12.64,463.575,32897.564,123.144,-1
0.0,69.98,300.0,300.0,100.0,0
0.0,23.24,4367.685,154.0,1609.972,0
0.0,69.98,600.11,300.0,170.688,-1
0.0,69.98,300.0,300.0,100.0,0
0.0,10.51,7266.49,4032.0,892.584,-1
0.0,7.0,14926.8,3838.8,2579.304,1
0.0,69.98,1910.965,300.0,427.924,0
0.0,18.34,300.0,32897.564,100.0,0
0.0,8.01,1098.965,448.0,290.444,0
0.0,21.24,24768.1,57456.0,18072.432,-1
0.0,47.93,2356.97,1344.0,296.828,0
0.0,6.03,1689.695,300.0,446.656,-1
0.0,26.87,300.0,300.0,100.0,0
0.0,42.71,300.0,300.0,100.0,0
0.0,21.44,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,5.53,8274.49,71008.0,1296.456,0
0.0,69.98,300.0,300.0,100.0,0
0.0,13.87,300.0,32897.564,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,73.47,685.545,32897.564,100.0,-1
0.0,69.98,695.03,439.992,219.94,0
0.0,20.39,7858.515,354.284,3702.328,-1
0.0,51.32,613.41,300.0,226.8,0
0.0,6.0,300.0,32897.564,100.0,0
0.0,39.91,300.0,32897.564,100.0,0
0.0,6.95,300.0,32897.564,100.0,0
0.0,45.73,599.795,884.716,107.94,0
0.0,9.74,386.61,32897.564,103.04,-1
0.0,13.57,300.0,300.0,100.0,0
0.0,51.83,2306.57,495.824,845.236,0
0.0,69.98,300.0,300.0,100.0,0
0.0,29.97,1610.84,844.256,449.904,0
0.0,9.54,300.0,32897.564,100.0,0
0.0,21.62,1449.595,300.0,314.188,-1
0.0,14.42,579.53,32897.564,197.344,0
0.0,51.83,30047.045,8634.948,11092.2,0
0.0,67.0,300.0,32897.564,100.0,-1
0.0,51.83,24154.375,305.704,2904.076,0
0.0,22.05,1474.48,85.904,337.652,0
0.0,51.83,2906.365,5.936,351.792,0
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,557.585,300.0,100.0,-1
0.0,51.83,9135.56,700.0,3823.484,0
0.0,69.98,446.565,399.392,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,51.83,5000.0,2750.0,1350.0,0
0.0,24.68,300.0,300.0,100.0,-1
0.0,69.98,681.24,300.0,181.188,0
0.0,26.96,10388.315,6587.896,1747.032,0
0.0,26.54,300.0,300.0,100.0,0
0.0,21.28,300.0,32897.564,100.0,-1
0.0,67.0,300.0,32897.564,100.0,0
0.0,11.93,300.0,300.0,100.0,0
0.0,49.43,300.0,32897.564,100.0,0
0.0,13.57,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,71.36,300.0,32897.564,100.0,0
0.0,50.44,1300.005,1235.388,340.48,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,51.83,5259.59,313.236,652.204,-1
0.0,49.36,557.865,896.532,235.928,0
0.0,4.73,300.0,300.0,100.0,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,22.56,7544.18,8482.516,3157.028,0
0.0,29.4,468.265,300.0,102.62,-1
0.0,50.15,1555.855,666.204,408.408,0
0.0,47.71,3500.0,1406.608,254.744,0
0.0,67.0,304.115,32897.564,100.0,0
0.0,23.38,757.47,32897.564,248.808,0
0.0,51.83,5595.485,644.84,679.7,0
0.0,11.29,300.0,32897.564,100.0,0
0.0,11.51,5000.0,2750.0,1350.0,0
0.0,3.12,1195.355,305.536,159.18,0
0.0,12.96,1109.64,300.0,348.628,0
0.0,67.0,300.0,32897.564,100.0,-1
0.0,25.15,300.0,300.0,100.0,-1
0.0,27.02,300.0,32897.564,100.0,-1
0.0,69.98,300.0,300.0,100.0,0
0.0,69.98,300.0,300.0,100.0,-1
0.0,30.42,1115.17,671.272,141.064,0
0.0,51.83,2422.63,183.372,379.288,1
0.0,32.97,5000.0,2750.0,1350.0,0
0.0,4.82,300.0,32897.564,100.0,0
0.0,29.4,7949.97,109.088,965.608,0
0.0,67.0,300.0,32897.564,100.0,0
0.0,14.01,300.0,300.0,100.0,0
0.0,51.83,11581.955,1048.6,2491.944,0
0.0,45.59,491.575,654.22,132.72,0
0.0,67.0,332.71,32897.564,100.0,0
0.0,51.83,1203.58,129.08,210.616,0
0.0,69.98,300.0,300.0,100.0,0
0.0,51.83,2438.45,324.044,298.172,0
0.0,19.92,15723.085,4093.32,3421.964,1
0.0,69.98,300.0,300.0,100.0,-1
0.0,51.83,9816.065,1431.164,12565.84,0
0.0,42.39,300.0,32897.564,100.0,0
